Date,Adj Close
2023-06-20,139.56
2023-06-21,140.65
2023-06-22,138.62
2023-06-23,137.44
2023-06-26,139.86
2023-06-27,139.42
2023-06-28,140.69
2023-06-29,141.88
2023-06-30,142.89
2023-07-03,142.77
2023-07-05,141.95
2023-07-06,138.83
2023-07-07,140.05
2023-07-10,140.99
2023-07-11,143.59
2023-07-12,144.97
2023-07-13,143.04
2023-07-14,139.47
2023-07-17,139.34
2023-07-18,139.62
2023-07-19,140.48
2023-07-20,142.03
2023-07-21,144.11
2023-07-24,146.95
2023-07-25,147.62
2023-07-26,146.52
2023-07-27,144.99
2023-07-28,144.27
2023-07-31,148.62
2023-08-01,147.39
2023-08-02,145.05
2023-08-03,145.0
2023-08-04,144.67
2023-08-07,145.2
2023-08-08,144.98
2023-08-09,145.17
2023-08-10,146.05
2023-08-11,149.07
2023-08-14,148.96
2023-08-15,144.61
2023-08-16,144.05
2023-08-17,146.47
2023-08-18,147.52
2023-08-21,147.03
2023-08-22,145.82
2023-08-23,146.01
2023-08-24,144.81
2023-08-25,145.89
2023-08-28,146.89
2023-08-29,146.66
2023-08-30,146.86
2023-08-31,147.7
2023-09-01,150.64
2023-09-05,152.62
2023-09-06,152.77
2023-09-07,152.78
2023-09-08,153.31
2023-09-11,150.14
2023-09-12,152.94
2023-09-13,152.38
2023-09-14,153.32
2023-09-15,152.66
2023-09-18,153.32
2023-09-19,153.3
2023-09-20,152.83
2023-09-21,151.45
2023-09-22,152.45
2023-09-25,154.68
2023-09-26,153.85
2023-09-27,156.82
2023-09-28,156.4
2023-09-29,154.6
2023-10-02,152.69
2023-10-03,153.05
2023-10-04,149.48
2023-10-05,150.27
2023-10-06,148.74
2023-10-09,152.86
2023-10-10,152.69
2023-10-11,147.7
2023-10-12,147.82
2023-10-13,150.42
2023-10-16,151.65
2023-10-17,153.65
2023-10-18,154.87
2023-10-19,155.04
2023-10-20,152.96
2023-10-23,147.32
2023-10-24,143.62
2023-10-25,142.91
2023-10-26,141.88
2023-10-27,132.35
2023-10-30,133.94
2023-10-31,133.61
2023-11-01,132.01
2023-11-02,136.39
2023-11-03,135.34
2023-11-06,134.78
2023-11-07,132.4
2023-11-08,130.56
2023-11-09,130.14
